"","utm_x","utm_y","poverty","nightlight","water_way","elev","poverty2","soil","HK_positive","HK_examined","TT_positive","TT_examined","Asc_positive","Asc_examined","STH_positive","STH_examined","HK.prev","ASC.prev","TT.prev","prob.none","prob.atleast.one"
"2407",3855001.86985491,-1718703.34150273,0.606073123886183,0.0193724613636732,6.69867181777954,1287.65307617188,88.2937055925856,10.1045770107872,0,30,0,30,0,30,0,30,0,0,0,1,0
"2408",3784082.14809771,-1283797.91355471,0.0833920861167674,4.93356513977051,0.512713491916656,1284.296875,34.6641916809367,13.1200897450627,0,29,0,29,0,29,0,29,0,0,0,1,0
"2409",3761392.74231744,-1572689.06611041,0.0418821783809905,11.7363519668579,0.126483514904976,1033.76135253906,16.703723699152,3.81418639407188,0,26,0,26,0,26,0,26,0,0,0,1,0
"2410",3889149.47987812,-1743986.41694529,0.627792808371734,0.0784225836396217,4.49579524993896,519.560302734375,84.683925142334,4.22568520291208,0,30,0,30,0,30,0,30,0,0,0,1,0
"2411",3790046.76886585,-1281190.2080527,0.452094950554599,0.921223640441895,1.67256641387939,1356.09973144531,75.768284304959,16.3509796796944,0,30,0,30,0,30,0,30,0,0,0,1,0
"2412",3898482.8622086,-1715783.4301874,0.73573785772425,0.0202291570603848,0.267608404159546,509.951446533203,92.0654266337297,4.74197903588906,2,30,0,30,5,30,6,30,6.66666666666667,16.6666666666667,0,88.7777777777778,-87.7777777777778
"2413",3752003.92288055,-1369780.5914439,0.604741824762876,0.0354209840297699,2.03109049797058,1527.87487792969,84.9958530240127,20.9905170995609,0,30,0,30,0,30,0,30,0,0,0,1,0
"2414",3890683.54038489,-1769792.97910078,0.546038760949439,0.155213877558708,1.11376810073853,758.601257324219,75.2853315253013,10.0139059710736,0,30,0,30,0,30,0,30,0,0,0,1,0
"2415",3764999.58287474,-1574078.03815408,0.0858954930286221,15.6605653762817,2.97397327423096,1121.18542480469,30.6800398557482,3.60099514420535,2,30,0,30,0,30,2,30,6.66666666666667,0,0,-5.66666666666667,6.66666666666667
"2416",3738067.00093196,-1406614.10314177,0.577707754261353,0.00995331443846226,0.870449721813202,1222.82653808594,82.1333430895237,9.42450324370869,5,30,1,30,8,30,11,30,16.6666666666667,26.6666666666667,3.33333333333333,-938.259259259259,939.259259259259
"2417",3711993.41472669,-1564914.13165231,0.654742704910717,0.40823170542717,5.42118501663208,1129.28125,85.5073926072566,6.70051607325998,0,26,0,26,0,26,0,26,0,0,0,1,0
"2418",3738691.0023376,-1589926.65311661,0.678443321752182,-0.00733029935508966,4.31460428237915,1150.17980957031,85.4249219623476,4.6886528859677,0,30,0,30,2,30,2,30,0,6.66666666666667,0,-5.66666666666667,6.66666666666667
"2419",3762744.47263025,-1497581.38346261,0.560388662082123,-0.0136976093053818,6.31944942474365,1265.20300292969,85.0615410080343,6.99384224385129,0,30,0,30,1,30,1,30,0,3.33333333333333,0,-2.33333333333333,3.33333333333333
"2420",3757810.75940244,-1601336.09461314,0.633126222282585,0.137851968407631,3.07255339622498,1200.51477050781,83.5303276258327,7.34338451329121,2,30,0,30,0,30,2,30,6.66666666666667,0,0,-5.66666666666667,6.66666666666667
"2421",3764773.45959309,-1575332.59389314,0.0838263664125057,16.2340660095215,3.18946290016174,1120.72045898438,36.9776762906917,4.817355395182,0,29,0,29,0,29,0,29,0,0,0,1,0
"2422",3774797.95785021,-1606643.03724486,0.639174681170708,0.00486771110445261,2.75959014892578,1232.51281738281,83.6044184508615,7.927571289683,0,30,0,30,0,30,0,30,0,0,0,1,0
"2423",3916756.94736578,-1694587.91137833,0.604863151900433,2.82717633247375,0.154730662703514,497.818572998047,86.2571103235968,5.3516576352956,3,30,0,30,5,30,8,30,10,16.6666666666667,0,141,-140
"2424",3928773.55800442,-1771336.58514015,0.623070470786242,0.0280448216944933,0.131910681724548,806.473937988281,82.6314484139795,8.89335037695729,0,30,0,30,0,30,0,30,0,0,0,1,0
"2425",3789012.4104213,-1284019.00190453,0.283847622429052,1.70962762832642,0.159551322460175,1278.4345703125,59.976726370624,13.5146540491944,0,29,0,29,0,29,0,29,0,0,0,1,0
"2426",3897809.89135895,-1791016.78792164,0.440749419540062,0.146975561976433,0.693090260028839,1087.60717773438,74.6835668199047,9.48936265695493,0,30,0,30,1,30,1,30,0,3.33333333333333,0,-2.33333333333333,3.33333333333333
"2427",3785165.37023274,-1504575.56966431,0.450780238931714,0.0219694972038269,3.78721117973328,1402.68176269531,76.0049951508343,6.62226906648451,0,30,0,30,0,30,0,30,0,0,0,1,0
"2428",3766922.21519608,-1601008.72691571,0.666760881931148,0.0176778119057417,5.76377630233765,1164.87341308594,85.7307348344934,4.88588386978235,0,30,0,30,0,30,0,30,0,0,0,1,0
"2429",3858963.51568563,-1658942.92259001,0.632803842624108,0.00152125861495733,13.2478981018066,1053.361328125,84.0585817409503,12.6625916801432,0,29,0,29,0,29,0,29,0,0,0,1,0
"2430",3909193.47146805,-1671729.60684556,0.741455872621626,0.0334428735077381,1.85767638683319,609.512878417969,90.0094775259274,12.2892639105917,0,30,0,30,0,30,0,30,0,0,0,1,0
"2431",3889985.32227474,-1687544.4153637,0.363045086656433,3.58819484710693,2.39810514450073,659.96826171875,70.3894928101095,7.50629183310995,3,30,0,30,2,30,5,30,10,6.66666666666667,0,51,-50
"2432",3723912.40485107,-1532153.46462287,0.60357993554028,-0.0159430224448442,0.4192955493927,1088.80859375,85.4121959940537,6.69865743855482,0,30,0,30,0,30,0,30,0,0,0,1,0
"2433",3763970.89059227,-1579310.42032792,0.502060870887533,0.83938729763031,4.14383602142334,1137.77709960938,74.3260790605589,4.19480760936353,0,28,0,28,0,28,0,28,0,0,0,1,0
"2434",3778155.68765101,-1548817.92662157,0.567388726257468,0.0329181998968124,0.413665801286697,1103.95739746094,81.5369272046472,4.20940277952579,0,29,0,29,0,29,0,29,0,0,0,1,0
"2435",3775310.86240404,-1487819.82653595,0.467077436747312,0.048389807343483,4.63413143157959,1199.50061035156,73.3092126440642,16.5496702331661,0,30,0,30,0,30,0,30,0,0,0,1,0
"2436",3783710.51910964,-1570630.08577764,0.673891856894901,0.0295389238744974,0.777869462966919,1019.26593017578,88.5650647644333,4.63241528331093,0,29,0,29,0,29,0,29,0,0,0,1,0
"2437",3876748.33275646,-1648407.31819756,0.808201985469004,0.0145896077156067,9.13512420654297,647.625610351562,95.2540510027012,5.52210431627467,0,30,0,30,0,30,0,30,0,0,0,1,0
"2438",3746757.40188361,-1610137.45736587,0.764237880138968,-0.0263222679495811,4.68960762023926,1184.01574707031,93.9435149753243,8.50480789041527,0,29,0,29,1,29,1,29,0,3.44827586206897,0,-2.44827586206897,3.44827586206897
"2439",3792376.02902316,-1513887.07333649,0.501180326749455,0.0239257588982582,3.25754952430725,972.42919921875,79.6170879864302,4.83501349626379,0,30,0,30,0,30,0,30,0,0,0,1,0
"2440",3789722.65103646,-1285382.35502436,0.415887897452099,1.52053129673004,1.59370863437653,1323.67224121094,73.3980036326895,15.5223982901961,0,29,0,29,0,29,0,29,0,0,0,1,0
"2441",3775079.65182166,-1471904.11675092,0.486864558096489,-0.00980713590979576,2.36129474639893,1080.05236816406,74.1285290415711,9.86998100014669,0,30,0,30,0,30,0,30,0,0,0,1,0
"2442",3718488.11775929,-1324649.66625938,0.717552296832824,0.00894440803676844,0.518893122673035,1187.37670898438,88.3711806909363,8.83345519970679,0,30,0,30,0,30,0,30,0,0,0,1,0
"2443",3728134.94571958,-1329511.2174597,0.679771479242309,0.00135416910052299,3.2346339225769,1262.94848632812,85.2840822451966,7.6755637417453,0,29,0,29,0,29,0,29,0,0,0,1,0
"2444",3714791.12845196,-1320137.0491121,0.70385136853642,0.0312391594052315,1.61754608154297,1169.73071289062,87.0082083196592,8.4854022698318,0,29,0,29,0,29,0,29,0,0,0,1,0
"2445",3899744.16769903,-1681991.23853276,0.718827034471683,0.0391958393156528,4.72244739532471,663.216430664062,89.5945299073496,12.3726303015721,0,30,0,30,0,30,0,30,0,0,0,1,0
"2446",3726442.11801545,-1257629.0000545,0.663341035222146,0.0291295722126961,1.30593979358673,1121.75939941406,87.3869099695559,6.21972979062749,0,30,0,30,0,30,0,30,0,0,0,1,0
