"","ï..Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"6381","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Osun","3804","Ede South","36945","Ede South","36945","Sekona","14356","4.4336440000000001","7.6267651000000001","1",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","22",0.44,NA,NA,"50","0",0,NA,NA,"50","22",0.44,0.44,1,0,12475,"","ANGA0380436945"
"6391","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Osun","3804","Ife South","36951","Ife South","36951","Sekunde","14672","4.6086999999999998","7.2256999999999998","3",NA,NA,"2014",NA,NA,"55","4",0.072727273,NA,NA,"55","32",0.581818182,NA,NA,"55","1",0.018181818,NA,NA,"55","37",0.672727273,0.584228059,1,0,12504,"","ANGA0380436951"
"6401","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Federal Capital Territory","3789","Bwari","36614","Bwari","36614","Shere","14229","7.4980560000000001","9.2341669999999993","3",NA,NA,"2014",NA,NA,"53","4",0.075471698,NA,NA,"53","0",0,NA,NA,"53","0",0,NA,NA,"53","4",0.075471698,0.075471698,1,0,10934,"","ANGA0378936614"
"6412","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kogi","3797","Bassa","36808","Bassa","36808","Sheria","14096","3.25583","7.7701760999999996","1",NA,NA,"2014",NA,NA,"50","8",0.16,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","8",0.16,0.16,1,0,11783,"","ANGA0379736808"
"6421","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Bauchi","3779","Shira","36442","Shira","36442","Shira","15730","10.045741","11.4615001","1",NA,NA,"2014",NA,NA,"50","4",0.08,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","4",0.08,0.08,1,2,10634,"","ANGA0377936442"
"6431","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Bauchi","3779","Ganjuwa","36434","Ganjuwa","36434","Siri Zurhu","14487","9.7933429360000002","10.81140244","3",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","2",0.04,NA,NA,"50","0",0,NA,NA,"50","2",0.04,0.04,1,2,10593,"","ANGA0377936434"
"6441","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Bauchi","3779","Ganjuwa","36434","Ganjuwa","36434","Soro","14488","10.297523549999999","10.77605412","3",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,0,1,2,10596,"","ANGA0377936434"
"6451","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Osun","3804","Ilesha East Atakunmosa","36955","Ilesha East Atakunmosa","36955","Stadium Road","14775","5.6181903330000003","7.6181599999999996","4",NA,NA,"2014",NA,NA,"50","5",0.1,NA,NA,"50","15",0.3,NA,NA,"50","3",0.06,NA,NA,"50","23",0.46,0.384716981,1,0,12521,"","ANGA0380436955"
"6461","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Bauchi","3779","Toro","36444","Toro","36444","Taka Bundu","15830","9.3096912589999992","10.209175399999999","3",NA,NA,"2014",NA,NA,"50","4",0.08,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","4",0.08,0.08,1,2,10651,"","ANGA0377936444"
"6471","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kogi","3797","Mapo-Muro","36817","Mapo-Muro","36817","Takete","15298","6.0361573999999996","8.2307480999999996","2",NA,NA,"2014",NA,NA,"50","13",0.26,NA,NA,"50","2",0.04,NA,NA,"50","0",0,NA,NA,"50","15",0.3,0.273207547,1,2,11830,"","ANGA0379736817"
