,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
184,Benin,BEN,BJ,Materi,3221,0.8969111,10.88658,2017,50,4,0.08,50,0,0,50,0,0,50,4,0.08,0.08
185,Benin,BEN,BJ,Materi,3221,0.8969111,10.88658,2017,48,1,0.020833333,48,0,0,48,0,0,48,1,0.020833333,0.020833333
186,Benin,BEN,BJ,Materi,3221,0.8969111,10.88658,2017,46,0,0,4,0,0,6,1,0.166666667,46,1,0.02173913,0.166666667
187,Benin,BEN,BJ,Materi,3221,0.8969111,10.88658,2017,48,0,0,48,0,0,48,0,0,48,0,0,0
188,Botswana,BWA,BW,Kgatleng,4299,26.3113112,-24.0325508,2015,49,0,0,49,0,0,49,0,0,49,0,0,0
189,Botswana,BWA,BW,Kgalagadi South,4298,20.6831788,-26.8668794,2015,46,0,0,46,0,0,46,0,0,46,0,0,0
190,Botswana,BWA,BW,Lobatse,4308,25.69039667,-25.20587333,2015,46,1,0.02173913,46,0,0,46,0,0,46,1,0.02173913,0.02173913
191,Botswana,BWA,BW,Selebi Phikwe,4293,27.87153167,-21.978385,2015,48,0,0,48,3,0.0625,48,0,0,48,3,0.0625,0.0625
192,Botswana,BWA,BW,Gaborone,4307,25.94184667,-24.666965,2015,54,0,0,54,2,0.037037037,54,0,0,54,2,0.037037037,0.037037037
193,Botswana,BWA,BW,Ngami,4305,23.6407748,-20.1446924,2015,44,2,0.045454545,44,7,0.159090909,44,0,0,44,8,0.181818182,0.18614533
194,Botswana,BWA,BW,Lobatse,4308,25.5319754,-25.3688181,2015,48,1,0.020833333,48,1,0.020833333,48,1,0.020833333,48,3,0.0625,0.057742414
195,Botswana,BWA,BW,Tutume,4295,26.4981503,-20.5808072,2015,51,0,0,51,3,0.058823529,51,3,0.058823529,51,6,0.117647059,0.107723445
